Category,Country/ State/ UT Name,Infant mortality rate - 1971,Infant mortality rate - 1972,Infant mortality rate - 1973,Infant mortality rate - 1974,Infant mortality rate - 1975,Infant mortality rate - 1976,Infant mortality rate - 1977,Infant mortality rate - 1978,Infant mortality rate - 1979,Infant mortality rate - 1980,Infant mortality rate - 1981,Infant mortality rate - 1982,Infant mortality rate - 1983,Infant mortality rate - 1984,Infant mortality rate - 1985,Infant mortality rate - 1986,Infant mortality rate - 1987,Infant mortality rate - 1988,Infant mortality rate - 1989,Infant mortality rate - 1990,Infant mortality rate - 1991,Infant mortality rate - 1992,Infant mortality rate - 1993,Infant mortality rate - 1994,Infant mortality rate - 1995,Infant mortality rate - 1996,Infant mortality rate - 1997,Infant mortality rate - 1998,Infant mortality rate - 1999,Infant mortality rate - 2000,Infant mortality rate - 2001,Infant mortality rate - 2002,Infant mortality rate - 2003,Infant mortality rate - 2004,Infant mortality rate - 2005,Infant mortality rate - 2006,Infant mortality rate - 2007,Infant mortality rate - 2008,Infant mortality rate - 2009,Infant mortality rate - 2010,Infant mortality rate - 2011,Infant mortality rate - 2012
Country,India (Average),129,139,134,126,140,129,130,127,120,114,110,105,105,104,97,96,95,94,91,80,80,79,74,74,74,72,71,72,70,68,66,63,60,58,58,57,55,53,50,47,44,42
State,Andhra Pradesh,106,116,105,111,123,122,125,117,106,92,86,79,77,78,83,82,79,83,81,70,73,71,64,65,67,65,63,66,66,65,66,62,59,59,57,56,54,52,49,46,43,41
State,Assam,139,136,136,136,144,124,115,118,104,103,106,102,94,99,111,109,102,99,91,76,81,76,81,78,77,74,76,76,76,75,74,70,67,66,68,67,66,64,61,58,55,55
State,Bihar,null,null,null,null,null,null,null,null,null,null,118,112,99,95,106,101,101,97,91,75,69,73,70,67,73,71,71,67,63,62,62,61,60,61,61,60,58,56,52,48,44,43
State,Chhattisgarh,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,89,94,78,79,77,73,70,60,63,61,59,57,54,51,48,47
State,Gujarat,144,128,161,106,154,146,138,122,123,113,116,111,106,106,98,107,97,90,86,72,69,67,58,64,62,61,62,64,63,62,60,60,57,53,54,53,52,50,48,44,41,38
State,Haryana,72,94,104,102,114,112,113,109,100,103,101,93,91,101,85,85,87,90,82,69,68,75,66,70,69,68,68,70,68,67,66,62,59,61,60,57,55,54,51,48,44,42
State,Jharkhand,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,68,62,71,70,62,51,51,49,50,49,48,46,44,42,39,38
State,Karnataka,95,95,90,86,80,89,83,82,83,71,69,65,71,74,69,73,75,74,80,70,77,73,67,67,62,53,53,58,58,57,58,55,52,49,50,48,47,45,41,38,35,32
State,Kerala,58,63,58,54,54,56,47,42,43,40,37,30,33,29,31,27,28,28,21,17,16,17,13,16,15,14,12,16,14,14,11,10,11,12,14,15,13,12,12,13,12,12
